Year,Month,Day,Location,Count_males,Count_females,Total,Weekly_average_prep_(inch),Weekly_average_temp_(F),Weekly_average_RH,Weekly_avg_wind_speed_(mph),Weekly_avg_soil_temp_(F),Region,Location_original
2007,4,13,Exeter,0,0,0,0.04,60.91,47.86,4.56,63.57,SSJV,Exeter
2007,4,13,South Exeter,0,0,0,0,59.96,52.57,6.09,62.2,SSJV,South Exeter
2007,4,13,Tonyville,1,0,1,0,59.96,52.57,6.09,62.2,SSJV,Tonyville
2007,4,13,West Lindsay,0,0,0,0.04,60.91,47.86,4.56,63.57,SSJV,West Lindsay
2007,4,13,Strathmore,0,0,0,0,59.96,52.57,6.09,62.2,SSJV,Strathmore
2007,4,13,Porterville,0,0,0,0,59.96,52.57,6.09,62.2,SSJV,Porterville
2007,4,13,Terra Bella,11,1,12,0,59.96,52.57,6.09,62.2,SSJV,Terra Bella
2007,4,20,Woodlake,0,0,0,0,54.19,62.14,5.2,59.04,SSJV,Woodlake
2007,4,20,Ivanhoe,0,0,0,0,54.19,62.14,5.2,59.04,SSJV,Ivanhoe
2007,4,20,Exeter,0,0,0,0.07,54.96,58.29,4.39,60.36,SSJV,Exeter
2007,4,20,South Exeter,0,0,0,0,54.19,62.14,5.2,59.04,SSJV,South Exeter
2007,4,20,Tonyville,0,0,0,0,54.19,62.14,5.2,59.04,SSJV,Tonyville
2007,4,20,West Lindsay,0,0,0,0.07,54.96,58.29,4.39,60.36,SSJV,West Lindsay
2007,4,20,Strathmore,0,0,0,0,54.19,62.14,5.2,59.04,SSJV,Strathmore
2007,4,20,Porterville,1,1,2,0,54.19,62.14,5.2,59.04,SSJV,Porterville
2007,4,20,Terra Bella,1,2,3,0,54.19,62.14,5.2,59.04,SSJV,Terra Bella
2007,4,27,Woodlake,0,0,0,0.04,61.31,66.57,3.83,62.4,SSJV,Woodlake
2007,4,27,Ivanhoe,0,0,0,0.04,61.31,66.57,3.83,62.4,SSJV,Ivanhoe
2007,4,27,Exeter,3,1,4,0.1,62.21,60,3.3,63.79,SSJV,Exeter
2007,4,27,South Exeter,0,0,0,0.04,61.31,66.57,3.83,62.4,SSJV,South Exeter
2007,4,27,Tonyville,1,0,1,0.04,61.31,66.57,3.83,62.4,SSJV,Tonyville
2007,4,27,West Lindsay,0,0,0,0.1,62.21,60,3.3,63.79,SSJV,West Lindsay
2007,4,27,Strathmore,0,0,0,0.04,61.31,66.57,3.83,62.4,SSJV,Strathmore
2007,4,27,Porterville,0,0,0,0.04,61.31,66.57,3.83,62.4,SSJV,Porterville
2007,4,27,Terra Bella,0,0,0,0.04,61.31,66.57,3.83,62.4,SSJV,Terra Bella
2007,5,4,Woodlake,0,0,0,0.01,66.74,50,5.63,68.03,SSJV,Woodlake
2007,5,4,Ivanhoe,0,0,0,0.01,66.74,50,5.63,68.03,SSJV,Ivanhoe
2007,5,4,Exeter,1,0,1,0.08,68.64,42.14,4.11,68.79,SSJV,Exeter
2007,5,4,South Exeter,0,0,0,0.01,66.74,50,5.63,68.03,SSJV,South Exeter
2007,5,4,Tonyville,0,0,0,0.01,66.74,50,5.63,68.03,SSJV,Tonyville
2007,5,4,West Lindsay,0,0,0,0.08,68.64,42.14,4.11,68.79,SSJV,West Lindsay
2007,5,4,Strathmore,0,0,0,0.01,66.74,50,5.63,68.03,SSJV,Strathmore
2007,5,4,Porterville,0,0,0,0.01,66.74,50,5.63,68.03,SSJV,Porterville
2007,5,4,Terra Bella,0,0,0,0.01,66.74,50,5.63,68.03,SSJV,Terra Bella
2007,5,11,Woodlake,0,0,0,0,69.76,43.43,3.99,67.69,SSJV,Woodlake
2007,5,11,Ivanhoe,0,0,0,0,69.76,43.43,3.99,67.69,SSJV,Ivanhoe
2007,5,11,Exeter,0,0,0,0.08,70.77,34.14,3.86,68.37,SSJV,Exeter
2007,5,11,South Exeter,0,0,0,0,69.76,43.43,3.99,67.69,SSJV,South Exeter
2007,5,11,Tonyville,0,0,0,0,69.76,43.43,3.99,67.69,SSJV,Tonyville
2007,5,11,West Lindsay,0,0,0,0.08,70.77,34.14,3.86,68.37,SSJV,West Lindsay
2007,5,11,Strathmore,0,0,0,0,69.76,43.43,3.99,67.69,SSJV,Strathmore
2007,5,11,Porterville,0,0,0,0,69.76,43.43,3.99,67.69,SSJV,Porterville
2007,5,11,Terra Bella,1,0,1,0,69.76,43.43,3.99,67.69,SSJV,Terra Bella
2007,5,18,Woodlake,0,0,0,0,69.6,45.29,5.11,68.49,SSJV,Woodlake
2007,5,18,Ivanhoe,0,0,0,0,69.6,45.29,5.11,68.49,SSJV,Ivanhoe
2007,5,18,Exeter,0,0,0,0.08,70.3,38.71,3.86,70.43,SSJV,Exeter
2007,5,18,South Exeter,0,0,0,0,69.6,45.29,5.11,68.49,SSJV,South Exeter
2007,5,18,Tonyville,0,0,0,0,69.6,45.29,5.11,68.49,SSJV,Tonyville
2007,5,18,West Lindsay,0,0,0,0.08,70.3,38.71,3.86,70.43,SSJV,West Lindsay
2007,5,18,Strathmore,0,0,0,0,69.6,45.29,5.11,68.49,SSJV,Strathmore
2007,5,18,Porterville,0,0,0,0,69.6,45.29,5.11,68.49,SSJV,Porterville
2007,5,18,Terra Bella,1,3,4,0,69.6,45.29,5.11,68.49,SSJV,Terra Bella
2007,5,25,Woodlake,0,0,0,0,70.5,41,4.73,69.33,SSJV,Woodlake
2007,5,25,Ivanhoe,0,0,0,0,70.5,41,4.73,69.33,SSJV,Ivanhoe
2007,5,25,Exeter,0,0,0,0.07,71.51,36,3.73,71.03,SSJV,Exeter
2007,5,25,South Exeter,0,0,0,0,70.5,41,4.73,69.33,SSJV,South Exeter
2007,5,25,Tonyville,0,0,0,0,70.5,41,4.73,69.33,SSJV,Tonyville
2007,5,25,West Lindsay,0,0,0,0.07,71.51,36,3.73,71.03,SSJV,West Lindsay
2007,5,25,Strathmore,0,0,0,0,70.5,41,4.73,69.33,SSJV,Strathmore
2007,5,25,Porterville,0,0,0,0,70.5,41,4.73,69.33,SSJV,Porterville
2007,5,25,Terra Bella,2,0,2,0,70.5,41,4.73,69.33,SSJV,Terra Bella
2007,6,1,Woodlake,0,0,0,0,73.41,48.86,4.26,71.16,SSJV,Woodlake
2007,6,1,Ivanhoe,0,0,0,0,73.41,48.86,4.26,71.16,SSJV,Ivanhoe
2007,6,1,Exeter,0,0,0,0.06,74.3,40,3.7,73.76,SSJV,Exeter
2007,6,1,South Exeter,0,0,0,0,73.41,48.86,4.26,71.16,SSJV,South Exeter
2007,6,1,Tonyville,0,0,0,0,73.41,48.86,4.26,71.16,SSJV,Tonyville
2007,6,1,West Lindsay,0,0,0,0.06,74.3,40,3.7,73.76,SSJV,West Lindsay
2007,6,1,Strathmore,0,0,0,0,73.41,48.86,4.26,71.16,SSJV,Strathmore
2007,6,1,Porterville,0,0,0,0,73.41,48.86,4.26,71.16,SSJV,Porterville
2007,6,1,Terra Bella,0,0,0,0,73.41,48.86,4.26,71.16,SSJV,Terra Bella
2007,6,8,Woodlake,0,0,0,0,70.61,46.14,5.8,72.59,SSJV,Woodlake
2007,6,8,Ivanhoe,0,0,0,0,70.61,46.14,5.8,72.59,SSJV,Ivanhoe
2007,6,8,Exeter,0,0,0,0,70.97,42.71,4.43,73.44,SSJV,Exeter
2007,6,8,South Exeter,0,0,0,0,70.61,46.14,5.8,72.59,SSJV,South Exeter
2007,6,8,Tonyville,1,0,1,0,70.61,46.14,5.8,72.59,SSJV,Tonyville
2007,6,8,West Lindsay,0,0,0,0,70.97,42.71,4.43,73.44,SSJV,West Lindsay
2007,6,8,Strathmore,0,0,0,0,70.61,46.14,5.8,72.59,SSJV,Strathmore
2007,6,8,Porterville,0,0,0,0,70.61,46.14,5.8,72.59,SSJV,Porterville
2007,6,8,Terra Bella,5,0,5,0,70.61,46.14,5.8,72.59,SSJV,Terra Bella
2007,6,15,Woodlake,0,0,0,0,78.57,41.43,4.23,74.67,SSJV,Woodlake
2007,6,15,Ivanhoe,0,0,0,0,78.57,41.43,4.23,74.67,SSJV,Ivanhoe
2007,6,15,Exeter,0,0,0,0,79.06,37.71,3.71,75.07,SSJV,Exeter
2007,6,15,South Exeter,0,0,0,0,78.57,41.43,4.23,74.67,SSJV,South Exeter
2007,6,15,Tonyville,0,0,0,0,78.57,41.43,4.23,74.67,SSJV,Tonyville
2007,6,15,West Lindsay,0,0,0,0,79.06,37.71,3.71,75.07,SSJV,West Lindsay
2007,6,15,Strathmore,0,0,0,0,78.57,41.43,4.23,74.67,SSJV,Strathmore
2007,6,15,Porterville,0,0,0,0,78.57,41.43,4.23,74.67,SSJV,Porterville
2007,6,15,Terra Bella,2,0,2,0,78.57,41.43,4.23,74.67,SSJV,Terra Bella
2007,6,22,Woodlake,0,0,0,0,77.84,41.71,4.2,77.57,SSJV,Woodlake
2007,6,22,Ivanhoe,0,0,0,0,77.84,41.71,4.2,77.57,SSJV,Ivanhoe
2007,6,22,Exeter,0,0,0,0,78.91,35.14,3.5,77.87,SSJV,Exeter
2007,6,22,South Exeter,0,0,0,0,77.84,41.71,4.2,77.57,SSJV,South Exeter
2007,6,22,Tonyville,0,0,0,0,77.84,41.71,4.2,77.57,SSJV,Tonyville
2007,6,22,West Lindsay,0,0,0,0,78.91,35.14,3.5,77.87,SSJV,West Lindsay
2007,6,22,Strathmore,0,0,0,0,77.84,41.71,4.2,77.57,SSJV,Strathmore
2007,6,22,Porterville,0,0,0,0,77.84,41.71,4.2,77.57,SSJV,Porterville
2007,6,22,Terra Bella,2,0,2,0,77.84,41.71,4.2,77.57,SSJV,Terra Bella
2007,6,29,Woodlake,0,0,0,0,76.41,39.14,4.91,76.14,SSJV,Woodlake
2007,6,29,Ivanhoe,0,0,0,0,76.41,39.14,4.91,76.14,SSJV,Ivanhoe
2007,6,29,Exeter,0,0,0,0,77.01,37,3.67,76.5,SSJV,Exeter
2007,6,29,South Exeter,0,0,0,0,76.41,39.14,4.91,76.14,SSJV,South Exeter
2007,6,29,Tonyville,0,0,0,0,76.41,39.14,4.91,76.14,SSJV,Tonyville
2007,6,29,West Lindsay,0,0,0,0,77.01,37,3.67,76.5,SSJV,West Lindsay
2007,6,29,Strathmore,0,0,0,0,76.41,39.14,4.91,76.14,SSJV,Strathmore
2007,6,29,Porterville,0,0,0,0,76.41,39.14,4.91,76.14,SSJV,Porterville
2007,6,29,Terra Bella,0,0,0,0,76.41,39.14,4.91,76.14,SSJV,Terra Bella
2007,7,6,Woodlake,0,0,0,0,80.23,45.86,3.89,79.34,SSJV,Woodlake
2007,7,6,Ivanhoe,0,0,0,0,80.23,45.86,3.89,79.34,SSJV,Ivanhoe
2007,7,6,Exeter,0,0,0,0,80.94,39.29,3.56,78.5,SSJV,Exeter
2007,7,6,South Exeter,0,0,0,0,80.23,45.86,3.89,79.34,SSJV,South Exeter
2007,7,6,Tonyville,0,0,0,0,80.23,45.86,3.89,79.34,SSJV,Tonyville
2007,7,6,West Lindsay,0,0,0,0,80.94,39.29,3.56,78.5,SSJV,West Lindsay
2007,7,6,Strathmore,0,0,0,0,80.23,45.86,3.89,79.34,SSJV,Strathmore
2007,7,6,Porterville,0,0,0,0,80.23,45.86,3.89,79.34,SSJV,Porterville
2007,7,6,Terra Bella,0,0,0,0,80.23,45.86,3.89,79.34,SSJV,Terra Bella
2007,7,13,Woodlake,0,0,0,0,78.73,52.57,4.1,79.89,SSJV,Woodlake
2007,7,13,Ivanhoe,0,0,0,0,78.73,52.57,4.1,79.89,SSJV,Ivanhoe
2007,7,13,Exeter,0,0,0,0,79.23,43.71,3.64,79.81,SSJV,Exeter
2007,7,13,South Exeter,0,0,0,0,78.73,52.57,4.1,79.89,SSJV,South Exeter
2007,7,13,Tonyville,0,0,0,0,78.73,52.57,4.1,79.89,SSJV,Tonyville
2007,7,13,West Lindsay,0,0,0,0,79.23,43.71,3.64,79.81,SSJV,West Lindsay
2007,7,13,Strathmore,0,0,0,0,78.73,52.57,4.1,79.89,SSJV,Strathmore
2007,7,13,Porterville,0,0,0,0,78.73,52.57,4.1,79.89,SSJV,Porterville
2007,7,13,Terra Bella,0,0,0,0,78.73,52.57,4.1,79.89,SSJV,Terra Bella
2007,7,20,Woodlake,0,0,0,0,77.86,48.57,4.91,78.27,SSJV,Woodlake
2007,7,20,Ivanhoe,0,0,0,0,77.86,48.57,4.91,78.27,SSJV,Ivanhoe
2007,7,20,Exeter,0,0,0,0,77.8,47,3.81,79.64,SSJV,Exeter
2007,7,20,South Exeter,0,0,0,0,77.86,48.57,4.91,78.27,SSJV,South Exeter
2007,7,20,Tonyville,0,0,0,0,77.86,48.57,4.91,78.27,SSJV,Tonyville
2007,7,20,West Lindsay,0,0,0,0,77.8,47,3.81,79.64,SSJV,West Lindsay
2007,7,20,Strathmore,0,0,0,0,77.86,48.57,4.91,78.27,SSJV,Strathmore
2007,7,20,Porterville,0,0,0,0,77.86,48.57,4.91,78.27,SSJV,Porterville
2007,7,20,Terra Bella,0,0,0,0,77.86,48.57,4.91,78.27,SSJV,Terra Bella
2007,7,27,Woodlake,0,0,0,0,81.2,49.29,3.8,79.26,SSJV,Woodlake
2007,7,27,Ivanhoe,0,0,0,0,81.2,49.29,3.8,79.26,SSJV,Ivanhoe
2007,7,27,Exeter,0,0,0,0,82.06,44.43,3.16,81.34,SSJV,Exeter
2007,7,27,South Exeter,0,0,0,0,81.2,49.29,3.8,79.26,SSJV,South Exeter
2007,7,27,Tonyville,0,0,0,0,81.2,49.29,3.8,79.26,SSJV,Tonyville
2007,7,27,West Lindsay,0,0,0,0,82.06,44.43,3.16,81.34,SSJV,West Lindsay
2007,7,27,Strathmore,0,0,0,0,81.2,49.29,3.8,79.26,SSJV,Strathmore
2007,7,27,Porterville,0,0,0,0,81.2,49.29,3.8,79.26,SSJV,Porterville
2007,7,27,Terra Bella,0,0,0,0,81.2,49.29,3.8,79.26,SSJV,Terra Bella
2007,8,3,Woodlake,0,0,0,0,80.61,46.57,3.41,80.96,SSJV,Woodlake
2007,8,3,Ivanhoe,0,0,0,0,80.61,46.57,3.41,80.96,SSJV,Ivanhoe
2007,8,3,Exeter,0,0,0,0,82.39,38.43,2.9,81.91,SSJV,Exeter
2007,8,3,South Exeter,0,0,0,0,80.61,46.57,3.41,80.96,SSJV,South Exeter
2007,8,3,Tonyville,0,0,0,0,80.61,46.57,3.41,80.96,SSJV,Tonyville
2007,8,3,West Lindsay,0,0,0,0,82.39,38.43,2.9,81.91,SSJV,West Lindsay
2007,8,3,Strathmore,0,0,0,0,80.61,46.57,3.41,80.96,SSJV,Strathmore
2007,8,3,Porterville,0,0,0,0,80.61,46.57,3.41,80.96,SSJV,Porterville
2007,8,3,Terra Bella,0,0,0,0,80.61,46.57,3.41,80.96,SSJV,Terra Bella
2007,8,10,Woodlake,0,0,0,0,75.8,45.86,4.3,77.97,SSJV,Woodlake
2007,8,10,Ivanhoe,0,0,0,0,75.8,45.86,4.3,77.97,SSJV,Ivanhoe
2007,8,10,Exeter,0,0,0,0,76.39,42.86,3.71,78.79,SSJV,Exeter
2007,8,10,South Exeter,0,0,0,0,75.8,45.86,4.3,77.97,SSJV,South Exeter
2007,8,10,Tonyville,0,0,0,0,75.8,45.86,4.3,77.97,SSJV,Tonyville
2007,8,10,West Lindsay,0,0,0,0,76.39,42.86,3.71,78.79,SSJV,West Lindsay
2007,8,10,Strathmore,0,0,0,0,75.8,45.86,4.3,77.97,SSJV,Strathmore
2007,8,10,Porterville,0,0,0,0,75.8,45.86,4.3,77.97,SSJV,Porterville
2007,8,10,Terra Bella,0,0,0,0,75.8,45.86,4.3,77.97,SSJV,Terra Bella
2007,8,17,Woodlake,0,0,0,0,76.33,45.29,3.66,77.83,SSJV,Woodlake
2007,8,17,Ivanhoe,0,0,0,0,76.33,45.29,3.66,77.83,SSJV,Ivanhoe
2007,8,17,Exeter,0,0,0,0,76,43.57,3.2,77.17,SSJV,Exeter
2007,8,17,South Exeter,0,0,0,0,76.33,45.29,3.66,77.83,SSJV,South Exeter
2007,8,17,Tonyville,0,0,0,0,76.33,45.29,3.66,77.83,SSJV,Tonyville
2007,8,17,West Lindsay,0,0,0,0,76,43.57,3.2,77.17,SSJV,West Lindsay
2007,8,17,Strathmore,0,0,0,0,76.33,45.29,3.66,77.83,SSJV,Strathmore
2007,8,17,Porterville,0,0,0,0,76.33,45.29,3.66,77.83,SSJV,Porterville
2007,8,17,Terra Bella,0,0,0,0,76.33,45.29,3.66,77.83,SSJV,Terra Bella
2007,8,24,Woodlake,0,0,0,0,77.97,50.57,3.23,76.96,SSJV,Woodlake
2007,8,24,Ivanhoe,0,0,0,0,77.97,50.57,3.23,76.96,SSJV,Ivanhoe
2007,8,24,Exeter,0,0,0,0,78.4,44.71,3.17,77.7,SSJV,Exeter
2007,8,24,South Exeter,0,0,0,0,77.97,50.57,3.23,76.96,SSJV,South Exeter
2007,8,24,Tonyville,0,0,0,0,77.97,50.57,3.23,76.96,SSJV,Tonyville
2007,8,24,West Lindsay,0,0,0,0,78.4,44.71,3.17,77.7,SSJV,West Lindsay
2007,8,24,Strathmore,0,0,0,0,77.97,50.57,3.23,76.96,SSJV,Strathmore
2007,8,24,Porterville,0,0,0,0,77.97,50.57,3.23,76.96,SSJV,Porterville
2007,8,24,Terra Bella,0,0,0,0,77.97,50.57,3.23,76.96,SSJV,Terra Bella
2007,8,31,Woodlake,0,0,0,0.02,82.76,53.14,3.54,79.84,SSJV,Woodlake
2007,8,31,Ivanhoe,0,0,0,0.02,82.76,53.14,3.54,79.84,SSJV,Ivanhoe
2007,8,31,Exeter,0,0,0,0,83.2,45.71,3.21,79.91,SSJV,Exeter
2007,8,31,South Exeter,0,0,0,0.02,82.76,53.14,3.54,79.84,SSJV,South Exeter
2007,8,31,Tonyville,0,0,0,0.02,82.76,53.14,3.54,79.84,SSJV,Tonyville
2007,8,31,West Lindsay,0,0,0,0,83.2,45.71,3.21,79.91,SSJV,West Lindsay
2007,8,31,Strathmore,0,0,0,0.02,82.76,53.14,3.54,79.84,SSJV,Strathmore
2007,8,31,Porterville,0,0,0,0.02,82.76,53.14,3.54,79.84,SSJV,Porterville
2007,8,31,Terra Bella,0,0,0,0.02,82.76,53.14,3.54,79.84,SSJV,Terra Bella
2007,9,7,Woodlake,3,0,3,0,78.77,47.57,4,79.11,SSJV,Woodlake
2007,9,7,Ivanhoe,0,0,0,0,78.77,47.57,4,79.11,SSJV,Ivanhoe
2007,9,7,Exeter,0,0,0,0,78.81,45.86,3.44,79.83,SSJV,Exeter
2007,9,7,South Exeter,0,0,0,0,78.77,47.57,4,79.11,SSJV,South Exeter
2007,9,7,Tonyville,0,0,0,0,78.77,47.57,4,79.11,SSJV,Tonyville
2007,9,7,West Lindsay,0,0,0,0,78.81,45.86,3.44,79.83,SSJV,West Lindsay
2007,9,7,Strathmore,1,0,1,0,78.77,47.57,4,79.11,SSJV,Strathmore
2007,9,7,Porterville,0,0,0,0,78.77,47.57,4,79.11,SSJV,Porterville
2007,9,7,Terra Bella,0,0,0,0,78.77,47.57,4,79.11,SSJV,Terra Bella
2007,9,14,Woodlake,0,0,0,0,73.26,56.71,3.7,77.39,SSJV,Woodlake
2007,9,14,Ivanhoe,0,0,0,0,73.26,56.71,3.7,77.39,SSJV,Ivanhoe
2007,9,14,Exeter,0,0,0,0,73.2,53.43,3.23,76.76,SSJV,Exeter
2007,9,14,South Exeter,0,0,0,0,73.26,56.71,3.7,77.39,SSJV,South Exeter
2007,9,14,Tonyville,0,0,0,0,73.26,56.71,3.7,77.39,SSJV,Tonyville
2007,9,14,West Lindsay,0,0,0,0,73.2,53.43,3.23,76.76,SSJV,West Lindsay
2007,9,14,Strathmore,1,0,1,0,73.26,56.71,3.7,77.39,SSJV,Strathmore
2007,9,14,Porterville,0,0,0,0,73.26,56.71,3.7,77.39,SSJV,Porterville
2007,9,14,Terra Bella,0,0,0,0,73.26,56.71,3.7,77.39,SSJV,Terra Bella
2007,9,21,Woodlake,0,0,0,0,65.5,57,3.9,71.66,SSJV,Woodlake
2007,9,21,Ivanhoe,0,0,0,0,65.5,57,3.9,71.66,SSJV,Ivanhoe
2007,9,21,Exeter,0,0,0,0,65.1,55.29,3.73,72.36,SSJV,Exeter
2007,9,21,South Exeter,0,0,0,0,65.5,57,3.9,71.66,SSJV,South Exeter
2007,9,21,Tonyville,0,0,0,0,65.5,57,3.9,71.66,SSJV,Tonyville
2007,9,21,West Lindsay,0,0,0,0,65.1,55.29,3.73,72.36,SSJV,West Lindsay
2007,9,21,Strathmore,1,0,1,0,65.5,57,3.9,71.66,SSJV,Strathmore
2007,9,21,Porterville,0,0,0,0,65.5,57,3.9,71.66,SSJV,Porterville
2007,9,21,Terra Bella,1,0,1,0,65.5,57,3.9,71.66,SSJV,Terra Bella
2007,9,28,Woodlake,0,0,0,0.02,65.11,62.43,3.46,69.96,SSJV,Woodlake
2007,9,28,Ivanhoe,0,0,0,0.02,65.11,62.43,3.46,69.96,SSJV,Ivanhoe
2007,9,28,Exeter,0,0,0,0,64.04,60.86,3.33,69.84,SSJV,Exeter
2007,9,28,South Exeter,0,0,0,0.02,65.11,62.43,3.46,69.96,SSJV,South Exeter
2007,9,28,Tonyville,0,0,0,0.02,65.11,62.43,3.46,69.96,SSJV,Tonyville
2007,9,28,West Lindsay,0,0,0,0,64.04,60.86,3.33,69.84,SSJV,West Lindsay
2007,9,28,Strathmore,0,0,0,0.02,65.11,62.43,3.46,69.96,SSJV,Strathmore
2007,9,28,Porterville,0,0,0,0.02,65.11,62.43,3.46,69.96,SSJV,Porterville
2007,9,28,Terra Bella,1,0,1,0.02,65.11,62.43,3.46,69.96,SSJV,Terra Bella
2007,10,5,Woodlake,0,0,0,0,62.16,58,4.09,68.83,SSJV,Woodlake
2007,10,5,Ivanhoe,0,0,0,0,62.16,58,4.09,68.83,SSJV,Ivanhoe
2007,10,5,Exeter,0,0,0,0,62.73,55.29,3.31,68.09,SSJV,Exeter
2007,10,5,South Exeter,0,0,0,0,62.16,58,4.09,68.83,SSJV,South Exeter
2007,10,5,Tonyville,0,0,0,0,62.16,58,4.09,68.83,SSJV,Tonyville
2007,10,5,West Lindsay,0,0,0,0,62.73,55.29,3.31,68.09,SSJV,West Lindsay
2007,10,5,Strathmore,0,0,0,0,62.16,58,4.09,68.83,SSJV,Strathmore
2007,10,5,Porterville,0,0,0,0,62.16,58,4.09,68.83,SSJV,Porterville
2007,10,5,Terra Bella,0,0,0,0,62.16,58,4.09,68.83,SSJV,Terra Bella
2007,10,12,Woodlake,0,0,0,0.04,58.77,60.29,3.03,66.43,SSJV,Woodlake
2007,10,12,Ivanhoe,0,0,0,0.04,58.77,60.29,3.03,66.43,SSJV,Ivanhoe
2007,10,12,Exeter,1,0,1,0.06,59.96,55.57,3.07,64.81,SSJV,Exeter
2007,10,12,South Exeter,0,0,0,0.04,58.77,60.29,3.03,66.43,SSJV,South Exeter
2007,10,12,Tonyville,0,0,0,0.04,58.77,60.29,3.03,66.43,SSJV,Tonyville
2007,10,12,West Lindsay,0,0,0,0.06,59.96,55.57,3.07,64.81,SSJV,West Lindsay
2007,10,12,Strathmore,0,0,0,0.04,58.77,60.29,3.03,66.43,SSJV,Strathmore
2007,10,12,Porterville,0,0,0,0.04,58.77,60.29,3.03,66.43,SSJV,Porterville
2007,10,12,Terra Bella,1,0,1,0.04,58.77,60.29,3.03,66.43,SSJV,Terra Bella
2007,10,19,Woodlake,0,0,0,0,59.61,74,3.53,64.63,SSJV,Woodlake
2007,10,19,Ivanhoe,1,0,1,0,59.61,74,3.53,64.63,SSJV,Ivanhoe
2007,10,19,Exeter,0,0,0,0.02,58.71,69.86,2.96,64.4,SSJV,Exeter
2007,10,19,South Exeter,0,0,0,0,59.61,74,3.53,64.63,SSJV,South Exeter
2007,10,19,Tonyville,0,0,0,0,59.61,74,3.53,64.63,SSJV,Tonyville
2007,10,19,West Lindsay,0,0,0,0.02,58.71,69.86,2.96,64.4,SSJV,West Lindsay
2007,10,19,Strathmore,0,0,0,0,59.61,74,3.53,64.63,SSJV,Strathmore
2007,10,19,Porterville,0,0,0,0,59.61,74,3.53,64.63,SSJV,Porterville
2007,10,19,Terra Bella,1,0,1,0,59.61,74,3.53,64.63,SSJV,Terra Bella
2007,10,26,Woodlake,0,1,1,0,60.63,57,3.21,62.61,SSJV,Woodlake
2007,10,26,Ivanhoe,1,0,1,0,60.63,57,3.21,62.61,SSJV,Ivanhoe
2007,10,26,Exeter,0,0,0,0.09,60.5,51.71,2.8,62.3,SSJV,Exeter
2007,10,26,South Exeter,0,0,0,0,60.63,57,3.21,62.61,SSJV,South Exeter
2007,10,26,Tonyville,0,0,0,0,60.63,57,3.21,62.61,SSJV,Tonyville
2007,10,26,West Lindsay,0,0,0,0.09,60.5,51.71,2.8,62.3,SSJV,West Lindsay
2007,10,26,Strathmore,0,0,0,0,60.63,57,3.21,62.61,SSJV,Strathmore
2007,10,26,Porterville,0,0,0,0,60.63,57,3.21,62.61,SSJV,Porterville
2007,10,26,Terra Bella,0,0,0,0,60.63,57,3.21,62.61,SSJV,Terra Bella
2007,11,2,Woodlake,1,0,1,0.02,60.63,81.43,2.56,64.14,SSJV,Woodlake
2007,11,2,Ivanhoe,1,1,2,0.02,60.63,81.43,2.56,64.14,SSJV,Ivanhoe
2007,11,2,Exeter,0,0,0,0.13,60.05,77.5,2.7,63.4,SSJV,Exeter
2007,11,2,South Exeter,0,0,0,0.02,60.63,81.43,2.56,64.14,SSJV,South Exeter
2007,11,2,Tonyville,1,0,1,0.02,60.63,81.43,2.56,64.14,SSJV,Tonyville
